	GSM1194697	GSM1194698	GSM1194699
FMO1	2	0	26
ENSG00000234984	0	0	0
ENSG00000232148	0	0	0
FMO2	9	10	9
FMO3	306	59	61
FMO4	35	0	5
FMO5	181	119	217
ENSG00000117507	236	2	189
ENSG00000230231	0	0	0
ENSG00000238087	0	0	0
ENSG00000215834	2	2	5
FMOD	3	170	29
FMR1	880	697	385
FMR1NB	0	0	0
FN1	3427	12524	5623
FN3K	68	42	43
FN3KRP	125	43	7
FNBP1	435	126	73
FNBP1L	895	860	531
ENSG00000257800	27	42	49
ENSG00000285182	2045	2237	1402
FNDC1	0	2	11
FNDC10	0	0	0
FNDC11	0	0	0
FNDC3A	433	343	431
FNDC3B	4462	7444	2492
ENSG00000223592	0	0	0
FNDC4	1	0	16
FNDC5	0	3	0
FNDC7	0	0	0
FNDC8	0	0	0
FNDC9	0	0	0
FNIP1	734	696	603
FNIP2	1069	596	2060
FNTA	2104	1735	1075
ENSG00000230022	3	0	1
FNTB	608	285	277
FOCAD	779	786	525
FOLH1	43	8	3
ENSG00000134612	0	0	0
FOLR1	1	0	18
FOLR2	0	0	0
FOLR3	0	0	0
FOS	2181	1352	1320
FOSB	1456	3860	1136
FOSL1	976	1996	464
ENSG00000248394	0	0	0
FOSL2	1282	1669	528
FOXA1	2106	1661	927
FOXA2	1	0	0
FOXA3	6	0	0
FOXB1	7	0	0
FOXB2	0	0	0
FOXC1	297	564	321
FOXC2	15	13	111
FOXD1	62	195	44
FOXD2	3	196	1
FOXD3	38	0	0
FOXD4	0	0	0
FOXD4L1	0	0	0
FOXD4L3	0	0	0
FOXD4L4	0	0	0
FOXD4L5	0	23	4
FOXD4L6	0	0	0
FOXE1	81	350	98
FOXE3	0	0	0
FOXF1	0	8	0
FOXF2	4	1545	2
FOXG1	4	0	0
FOXH1	18	87	6
FOXI1	0	0	0
FOXI2	0	0	0
FOXI3	20	11	10
FOXJ1	11	0	15
FOXJ2	326	215	66
FOXJ3	1208	1391	535
FOXK1	416	292	409
FOXK2	700	368	169
FOXL1	21	25	3
FOXL2	3	84	0
FOXL2NB	65	101	50
FOXM1	498	206	153
FOXN1	9	108	87
FOXN2	280	295	125
FOXN3	2194	598	1066
ENSG00000176318	6	0	0
FOXN4	0	0	0
FOXO1	598	311	335
ENSG00000214295	0	0	0
FOXO3	1168	1582	284
FOXO3B	0	0	0
FOXO4	8	0	0
ENSG00000281518	17	0	0
FOXP1	1674	1776	1291
FOXP2	64	70	21
FOXP3	7	0	10
FOXP4	923	138	224
FOXQ1	140	616	110
ENSG00000281277	0	0	0
FOXR2	0	0	0
FOXRED1	208	175	60
FOXRED2	308	763	324
FOXS1	0	1	0
FPGS	177	181	52
FPGT	140	53	16
FPGT-TNNI3K	82	22	15
FPR1	359	132	114
FPR2	24	2	11
FPR3	101	189	83
FRA10AC1	216	275	148
FRAS1	381	185	452
FRAT1	59	2	2
FRAT2	36	0	7
FREM1	3	0	0
FREM2	218	96	31
FREM3	0	0	0
ENSG00000275145	96	100	32
ENSG00000149531	39	7	12
ENSG00000282826	0	28	0
ENSG00000282870	7	8	0
ENSG00000282995	1	0	0
ENSG00000283047	4	0	0
ENSG00000283023	2	0	10
ENSG00000276291	234	130	292
ENSG00000215548	11	0	8
ENSG00000280286	2	0	0
ENSG00000274972	8	0	30
FRG2B	0	3	0
FRG2C	7	33	6
ENSG00000261711	0	0	0
ENSG00000282842	0	0	0
ENSG00000232783	0	0	0
ENSG00000260291	0	0	0
ENSG00000260846	0	0	0
ENSG00000260598	0	0	0
ENSG00000259897	0	0	0
ENSG00000261741	0	0	0
ENSG00000267704	0	0	0
ENSG00000275170	0	0	0
FRK	2923	3574	2636
FRMD1	12	19	9
FRMD3	31	20	10
FRMD4A	212	171	137
FRMD4B	898	458	287
FRMD5	128	294	14
FRMD6	1465	3665	794
FRMD7	0	0	0
FRMD8	392	491	55
ENSG00000227942	0	0	0
FRMPD1	25	18	6
FRMPD2	54	1	0
ENSG00000150175	10	0	0
FRMPD3	34	21	34
FRMPD4	1	0	36
FRRS1	746	693	277
FRRS1L	164	121	121
FRS2	802	1765	554
FRS3	26	155	2
FRY	126	186	46
FRYL	2056	2398	1164
FRZB	25	36	5
FSBP	19	37	1
FSCB	0	0	0
FSCN1	498	694	160
ENSG00000261559	0	0	0
FSCN2	0	0	0
FSCN3	18	30	0
FSD1	9	4	5
FSD1L	54	70	18
FSD2	124	78	175
FSHB	0	0	0
FSHR	0	0	0
FSIP1	0	8	0
FSIP2	1511	1638	1051
FST	225	597	162
FSTL1	1573	1731	587
FSTL3	10	164	33
FSTL4	15	4	45
FSTL5	1	0	0
ENSG00000281775	0	0	0
FTCDNL1	0	0	0
FTH1	16782	24805	10772
ENSG00000232273	14	2	0
ENSG00000223361	11	19	9
ENSG00000237264	3	8	0
ENSG00000213362	2	9	1
ENSG00000185638	0	0	0
ENSG00000218980	1	0	4
ENSG00000227376	11	19	3
ENSG00000219186	0	0	0
ENSG00000285319	1	12	5
ENSG00000226564	3	2	2
ENSG00000249013	1	0	1
ENSG00000225079	0	1	0
ENSG00000242960	3	7	4
ENSG00000249302	0	13	1
ENSG00000232792	0	0	0
ENSG00000218213	0	0	0
ENSG00000234355	0	0	0
ENSG00000213453	1	1	1
ENSG00000242992	20	14	4
ENSG00000230204	11	1	1
ENSG00000233083	0	0	0
ENSG00000232187	3	5	2
ENSG00000219507	14	3	6
ENSG00000251395	0	0	0
FTHL17	0	0	0
FTL	22912	29692	10425
ENSG00000235525	1	0	0
ENSG00000250426	15	46	24
ENSG00000265095	0	0	0
ENSG00000263725	0	0	0
ENSG00000260459	0	43	5
ENSG00000233952	0	0	0
ENSG00000229735	0	0	0
ENSG00000228347	0	1	0
ENSG00000230214	0	0	0
ENSG00000237913	0	0	0
ENSG00000232368	6	9	0
ENSG00000226608	27	31	8
ENSG00000214020	0	0	0
ENSG00000266989	0	2	0
ENSG00000254984	13	8	18
ENSG00000232217	0	0	0
FTMT	0	0	0
FTO	3393	3590	2588
ENSG00000226491	12	0	0
FTSJ1	352	274	180
FTSJ3	213	655	31
FUBP1	1009	1850	270
FUBP3	151	176	56
FUCA1	699	538	132
ENSG00000237053	0	3	4
FUCA2	513	441	255
FUNDC1	210	141	108
FUNDC2	325	405	199
ENSG00000182814	0	0	0
ENSG00000187103	0	0	0
ENSG00000227009	0	0	0
FUOM	15	18	66
FURIN	708	96	210
FUS	724	960	826
FUT1	213	127	86
FUT10	312	1792	120
FUT11	211	145	155
FUT2	507	1313	436
FUT3	129	168	294
FUT4	145	226	31
FUT5	0	0	0
FUT6	48	157	33
FUT7	0	0	0
FUT8	2377	2522	833
FUT9	17	17	33
FUZ	79	41	36
FXN	56	61	40
ENSG00000258421	0	0	0
ENSG00000177736	0	137	1
FXR1	1531	3086	621
FXR2	172	71	103
FXYD1	0	0	0
FXYD2	0	0	7
FXYD3	7639	14973	3369
FXYD4	0	0	0
FXYD5	284	1305	108
FXYD6	3	7	4
FXYD6-FXYD2	0	0	0
ENSG00000270762	0	0	0
ENSG00000235964	0	0	0
ENSG00000182707	0	0	0
FXYD7	0	2	0
FYCO1	582	118	112
FYN	25	143	17
FYTTD1	1165	1504	476
ENSG00000282345	0	0	0
FZD1	277	752	299
FZD10	3	9	18
FZD2	2	0	4
FZD3	253	301	107
FZD4	176	271	78
FZD5	823	443	80
FZD6	1024	874	482
FZD7	95	191	26
FZD8	14	7	0
FZD9	0	0	0
FZR1	108	220	4
G0S2	102	14	5
G2E3	410	976	204
G3BP1	1372	1693	350
G3BP2	1095	1201	745
ENSG00000278373	8	1	1
G6PC3	315	429	298
G6PD	246	140	173
GAA	746	455	106
GAB1	602	576	415
GAB2	160	52	18
GAB3	81	4	80
GAB4	0	0	0
GABARAP	2234	3966	1798
GABARAPL1	283	322	219
GABARAPL2	469	259	642
ENSG00000279980	0	0	0
ENSG00000232569	291	389	84
GABBR2	0	3	1
GABPA	166	222	28
GABPB1	562	558	445
GABPB2	579	368	650
GABRA1	26	5	4
GABRA2	13	16	12
GABRA3	87	291	65
GABRA4	2	5	2
GABRA5	0	0	0
GABRA6	0	0	0
GABRB1	0	0	0
GABRB2	45	135	52
GABRB3	47	40	20
GABRD	0	0	0
GABRE	3239	3826	1868
GABRG1	0	0	0
GABRG2	80	77	9
GABRG3	28	19	22
GABRP	196	229	169
GABRQ	8	0	0
GABRR1	43	18	4
GABRR2	0	0	0
GABRR3	9	0	0
GAD1	88	161	109
GAD2	0	0	0
GADD45A	361	677	247
GADD45B	29	35	42
GADD45G	0	0	0
GADD45GIP1	220	468	60
GADL1	181	133	138
GAGE1	16	10	20
GAGE10	0	0	0
ENSG00000236737	0	0	0
GAGE12C	0	0	0
GAGE12D	0	0	0
GAGE12E	0	0	0
GAGE12F	0	0	0
GAGE12G	0	0	0
GAGE12H	0	0	0
GAGE12J	0	0	0
GAGE13	0	0	0
GAGE2A	0	0	0
GAGE12B	0	0	0
GAK	171	136	45
GAL	0	4	0
GAL3ST1	11	7	2
ENSG00000276126	29	0	0
GAL3ST3	2	0	0
GAL3ST4	148	6	34
GALC	489	551	148
GALE	808	932	404
GALK1	81	55	40
GALK2	141	133	96
GALM	112	134	78
GALNS	119	162	89
GALNT1	1338	1849	533
GALNT10	368	535	89
GALNT11	371	262	104
GALNT12	32	122	19
GALNT13	34	3	6
GALNT14	25	7	23
GALNT15	20	27	33
GALNT16	77	52	47
GALNT18	85	79	102
GALNT2	669	565	240
GALNT3	1468	2346	790
GALNT4	278	234	157
GALNT5	1401	1333	378
GALNT6	1357	1218	955
GALNT7	1758	2446	786
GALNT8	4	50	1
ENSG00000288490	34	16	1
GALNTL5	0	0	0
GALNTL6	21	2	1
GALP	0	0	0
GALR1	104	156	79
GALR2	5	0	0
GALR3	0	0	0
GALT	104	112	14
GAMT	32	46	10
ENSG00000231910	0	0	0
GAN	540	698	663
GANAB	1221	1807	585
GANC	255	1389	281
GAP43	0	0	1
GAPDH	23471	41949	9333
ENSG00000228232	18	15	4
ENSG00000236056	1	1	1
ENSG00000214563	0	0	0
ENSG00000225502	0	0	0
ENSG00000229551	0	0	0
ENSG00000234529	0	0	0
ENSG00000236811	8	16	3
ENSG00000224333	1	5	1
ENSG00000236993	2	8	0
ENSG00000234005	0	1	0
ENSG00000235595	4	1	0
ENSG00000185221	0	0	0
ENSG00000213594	0	0	0
ENSG00000282008	0	0	0
ENSG00000239873	0	1	1
ENSG00000213449	0	1	0
ENSG00000178596	1	0	0
ENSG00000235868	2	1	0
ENSG00000226443	0	0	0
ENSG00000240244	10	0	3
ENSG00000235306	0	0	0
ENSG00000213158	0	0	0
ENSG00000231907	0	3	0
ENSG00000249210	4	7	0
ENSG00000239207	6	2	1
ENSG00000248626	47	31	13
ENSG00000277172	0	0	0
ENSG00000219881	0	0	0
ENSG00000213352	11	2	3
ENSG00000228312	0	0	0
ENSG00000224678	0	1	0
ENSG00000243033	0	0	0
ENSG00000232718	0	0	0
ENSG00000234285	15	0	7
ENSG00000241861	0	0	0
ENSG00000236973	0	0	0
ENSG00000235076	0	0	0
ENSG00000234069	0	0	0
ENSG00000226769	1	1	0
ENSG00000224055	0	7	0
ENSG00000249018	0	0	0
ENSG00000236167	0	0	0
ENSG00000229570	2	1	2
ENSG00000231739	0	13	9
ENSG00000248180	90	18	0
ENSG00000248415	3	8	0
ENSG00000251013	0	2	0
ENSG00000218582	4	11	1
ENSG00000231072	2	3	4
ENSG00000235587	20	31	8
ENSG00000250933	0	2	0
ENSG00000219930	2	4	1
ENSG00000233876	1	6	2
ENSG00000223460	3	2	0
ENSG00000249489	4	3	2
ENSG00000213376	2	2	0
ENSG00000216624	41	43	4
ENSG00000226540	1	2	1
ENSG00000232780	0	0	0
ENSG00000226196	0	0	0
ENSG00000249840	0	0	1
GAPDHS	0	0	0
GAPT	79	0	3
GAPVD1	907	864	532
GAR1	15	69	32
GAREM1	1596	2372	643
GAREM2	57	74	56
GARNL3	90	185	34
ENSG00000262473	459	564	254
GAS1	10	1	6
GAS2	4	0	0
GAS2L1	44	19	10
ENSG00000229511	0	0	0
ENSG00000228376	0	0	0
GAS2L2	0	0	0
GAS2L3	48	64	21
GAS6	1	11	9
GAS7	150	24	34
GAS8	29	34	160
GAST	0	0	0
GATA1	0	0	0
GATA2	4	1	97
GATA3	345	288	62
ENSG00000285109	0	0	0
GATA5	0	0	0
GATA6	47	70	85
GATAD1	878	934	404
GATAD2A	550	526	209
ENSG00000261992	894	602	476
GATB	203	20	60
GATC	1156	647	1168
GATM	59	5	6
ENSG00000262446	969	570	485
GBA2	419	356	141
GBA3	6	0	0
ENSG00000160766	40	106	4
GBE1	105	213	53
GBF1	658	1233	805
GBGT1	6	8	12
GBP1	566	1350	432
ENSG00000225492	97	90	50
GBP2	338	1092	330
GBP3	499	337	261
GBP4	557	289	414
GBP5	366	1246	979
GBP6	307	427	226
GBP7	19	0	55
GBX1	0	0	0
GBX2	0	0	0
GC	0	0	0
GCA	182	99	137
GCAT	31	18	24
GCC1	103	62	52
GCC2	1519	1092	1110
GCDH	30	36	24
GCFC2	327	309	310
GCG	0	0	0
ENSG00000288269	5	0	0
GCH1	376	483	422
GCHFR	138	85	43
GCK	1	9	0
GCKR	3	9	3
GCLC	1371	1233	802
GCLM	1061	1168	326
GCM1	35	41	22
GCM2	0	0	0
GCN1	930	1827	256
GCNT1	402	434	210
ENSG00000236474	2	0	0
ENSG00000249206	0	0	0
ENSG00000231047	31	5	5
ENSG00000219653	0	0	0
ENSG00000237620	0	0	0
ENSG00000285222	885	947	890
GCNT3	470	297	164
GCNT4	88	37	5
GCNT7	136	408	71
GCOM1	12	0	1
ENSG00000227725	0	0	0
ENSG00000284925	205	184	60
GCSAML	47	9	22
GCSH	112	120	87
ENSG00000248651	1	0	0
ENSG00000259525	0	0	0
ENSG00000283168	0	0	0
ENSG00000256171	0	0	0
ENSG00000224837	32	0	0
GDA	328	246	376
GDAP1	148	202	34
GDAP1L1	3	0	0
GDAP2	550	518	366
GDE1	1220	1059	726
GDF1	0	0	0
GDF10	0	0	0
GDF11	386	105	104
GDF15	944	1284	287
GDF2	0	0	0
GDF3	0	0	0
GDF5	5	0	0
GDF6	4	5	2
GDF7	7	2	14
GDF9	2	17	10
GDI1	564	300	272
GDI2	3030	2608	983
ENSG00000229165	1	0	0
ENSG00000233994	0	1	2
GDNF	272	52	371
GDPD1	146	13	48
GDPD2	10	1	1
GDPD3	7	1	0
GDPD4	7	3	1
GDPD5	95	2	20
GDPGP1	580	458	523
GEM	30	217	133
GEMIN2	142	117	142
ENSG00000262767	0	0	0
ENSG00000235339	0	0	0
GEMIN4	192	150	181
GEMIN5	235	166	81
GEMIN6	562	267	310
GEMIN7	356	286	119
GEMIN8	156	102	26
ENSG00000260451	0	0	0
ENSG00000223772	0	0	0
ENSG00000228175	0	0	0
GEN1	394	283	335
GET4	238	367	234
GFAP	24	7	32
GFER	43	112	17
GFI1	1	89	0
GFI1B	105	34	36
GFM1	738	451	311
GFM2	394	347	108
GFOD1	206	372	120
GFOD2	312	283	735
GFPT1	2036	1789	941
GFPT2	17	0	0
GFRA1	0	0	0
GFRA2	0	0	0
GFRA3	9	0	0
GFRA4	0	0	0
GFRAL	13	11	5
GFY	0	0	0
GGA1	306	527	105
GGA2	516	1227	360
GGA3	1177	1289	420
GGACT	27	2	1
GGCT	160	323	104
GGCX	693	1139	598
GGH	58	52	5
GGN	0	0	0
ENSG00000204188	21	24	6
ENSG00000275099	264	342	442
GGPS1	236	353	67
GGT1	18	52	110
ENSG00000133475	0	0	0
ENSG00000197421	5	0	12
ENSG00000281616	0	0	0
GGT5	109	139	46
GGT6	354	267	246
GGT7	195	23	5
ENSG00000236969	0	0	0
ENSG00000237766	0	0	0
GGTLC1	4	0	0
GGTLC2	0	0	0
GGTLC3	6	0	14
ENSG00000230712	0	0	0
ENSG00000276160	0	0	0
GH1	0	0	0
GH2	0	0	0
GHDC	12	57	89
GHITM	622	518	182
GHR	80	225	50
GHRH	0	0	0
GHRHR	0	0	0
GHRL	27	0	0
GHSR	0	0	0
GID4	146	213	77
GID8	1107	1537	885
GIGYF1	164	93	54
GIGYF2	1002	822	863
GIMAP1	9	14	8
GIMAP1-GIMAP5	0	0	0
GIMAP2	55	35	90
ENSG00000177590	0	0	0
GIMAP4	114	31	20
GIMAP5	1	0	18
GIMAP6	8	0	9
GIMAP7	2	0	0
GIMAP8	96	4	0
GIMD1	0	0	0
GIN1	82	61	30
GINM1	413	535	277
GINS1	171	239	177
GINS2	120	115	57
GINS3	127	92	77
GINS4	128	311	91
GIP	1	0	0
GIPC1	372	241	82
GIPC2	4	0	0
GIPC3	0	0	0
GIPR	99	34	55
GIT1	271	80	33
GIT2	724	701	406
GJA1	341	865	749
ENSG00000288435	0	0	0
ENSG00000176857	0	60	0
GJA3	0	1	0
GJA4	0	0	0
GJA5	7	0	0
ENSG00000236187	0	0	0
GJA8	0	0	0
GJA9	43	11	0
GJB1	0	0	0
GJB2	474	1011	571
GJB3	1054	894	449
GJB4	90	56	9
GJB5	512	304	66
GJB6	92	533	157
GJB7	13	7	19
GJC1	389	309	203
GJC2	2	0	0
GJC3	0	0	0
GJD2	2	4	7
GJD3	8	0	0
GJD4	14	12	19
GJE1	0	0	0
GK	225	638	102
GK2	0	0	0
GK5	2015	1648	1372
GKAP1	20	0	3
GKN1	0	0	0
GKN2	0	0	0
ENSG00000283586	0	0	0
GLA	104	197	2
GLB1	531	324	213
GLB1L	78	61	28
GLB1L2	130	5	23
GLB1L3	220	170	150
GLCCI1	405	153	249
GLCE	527	845	627
GLDC	1	0	0
ENSG00000248590	0	0	0
GLDN	13	16	12
GLE1	186	184	5
GLG1	1901	1875	1300
GLI1	0	0	0
GLI2	4	2	6
GLI3	302	1164	515
GLI4	4	6	1
GLIPR1	196	359	182
GLIPR1L1	16	0	2
GLIPR1L2	39	65	36
GLIPR2	190	227	169
GLIS1	0	0	0
ENSG00000274636	491	108	290
GLIS3	867	536	389
GLMN	169	139	84
GLMP	498	273	1386
GLO1	463	537	197
GLOD4	637	479	301
GLOD5	10	0	0
GLP1R	0	0	0
GLP2R	0	19	0
GLRA1	8	1	3
GLRA2	0	0	0
GLRA3	25	96	141
ENSG00000188828	0	0	0
GLRB	0	0	0
GLRX	891	937	395
GLRX2	11	18	0
GLRX3	615	589	466
ENSG00000216657	2	0	26
GLRX5	288	484	142
ENSG00000118990	0	0	0
GLS	668	1779	922
GLS2	5	0	4
GLT1D1	12	1	3
GLT6D1	0	0	0
GLT8D1	244	478	114
GLT8D2	43	103	5
GLTP	1544	2393	789
GLTPD2	0	1	0
ENSG00000255138	0	0	0
GLUD1	3643	4368	1122
ENSG00000250959	20	17	24
ENSG00000267486	0	0	0
ENSG00000234349	0	0	0
ENSG00000288118	6	3	2
GLUL	3972	4637	2304
ENSG00000254572	3	1	0
ENSG00000178723	0	0	4
ENSG00000257915	1	11	0
ENSG00000215043	0	0	0
GLYAT	9	0	0
GLYATL1	1	0	0
ENSG00000255189	0	0	0
ENSG00000254717	0	0	0
ENSG00000254399	0	0	0
GLYATL2	3	4	8
GLYATL3	0	0	0
ENSG00000257780	0	0	0
GLYCTK	17	26	1
GLYR1	892	1286	666
GM2A	2202	2812	1184
ENSG00000241695	0	0	0
ENSG00000239428	0	0	0
GMCL1	453	918	116
ENSG00000271070	0	0	0
GMDS	196	112	118
GMEB1	900	337	159
GMEB2	19	4	6
GMFB	1059	1532	1051
ENSG00000243495	0	0	0
GMFG	38	71	22
GMIP	58	230	73
GML	0	0	0
GMNC	59	0	14
GMNN	87	60	23
GMPPA	217	222	66
GMPPB	168	275	95
GMPR	2	2	9
ENSG00000284752	392	80	37
GMPS	1232	2050	564
ENSG00000250471	0	879	0
GNA11	284	126	137
GNA12	353	781	283
GNA13	1946	1482	1078
GNA14	5	11	9
GNA15	191	563	15
GNAI1	1058	776	384
GNAI2	792	711	490
ENSG00000255749	0	0	0
ENSG00000231957	0	0	0
GNAI3	1414	2388	1102
GNAL	116	76	68
GNAO1	7	0	0
GNAQ	1384	1342	558
ENSG00000214077	0	0	0
GNAS	12116	17323	9422
GNAT1	1	0	0
GNAT2	0	0	0
GNAT3	0	5	0
GNAZ	3	0	1
GNB1	3579	4735	2296
GNB1L	52	5	53
GNB2	461	608	127
GNB3	0	1	0
GNB4	351	349	264
GNB5	467	477	236
GNE	2932	3276	1010
GNG10	713	906	296
ENSG00000234016	0	0	0
GNG11	0	0	0
GNG12	1261	1787	572
GNG13	5	0	0
GNG2	59	4	85
GNG3	4	0	0
ENSG00000282972	118	114	40
GNG5	915	2161	479
ENSG00000280557	0	0	0
GNG5B	0	0	0
ENSG00000254949	0	0	0
ENSG00000234590	0	0	0
GNG7	29	27	68
GNG8	0	0	0
GNGT1	76	84	10
GNGT2	12	0	0
ENSG00000229470	163	231	81
GNL2	682	1385	361
ENSG00000223893	0	0	0
GNL3	398	734	213
GNL3L	112	216	204
ENSG00000215032	0	0	0
GNLY	4	24	6
GNMT	0	0	0
GNPAT	520	475	157
ENSG00000259844	0	0	0
GNPDA1	169	101	107
GNPDA2	130	104	27
GNPNAT1	412	534	391
GNPTAB	2058	1215	995
GNPTG	257	618	169
GNRH1	18	0	0
GNRH2	0	0	0
GNRHR	25	15	0
ENSG00000211451	561	437	270
ENSG00000259169	0	0	0
GNS	3124	2406	1514
GOLGA1	319	460	91
GOLGA2	255	316	113
ENSG00000205333	0	0	0
ENSG00000282183	61	0	0
ENSG00000260062	6	5	7
ENSG00000239533	0	0	0
ENSG00000172297	0	0	0
ENSG00000229608	0	0	0
ENSG00000238105	240	343	129
ENSG00000241621	0	0	0
ENSG00000225151	369	786	151
ENSG00000214433	0	0	0
ENSG00000269332	3	3	1
GOLGA3	568	570	352
GOLGA4	1353	1264	902
GOLGA5	1203	2014	477
ENSG00000251215	70	95	3
GOLGA6A	0	0	0
GOLGA6B	0	0	0
GOLGA6C	0	0	0
GOLGA6D	0	0	0
ENSG00000278247	0	51	0
ENSG00000274166	0	44	10
ENSG00000223698	0	0	0
ENSG00000197092	0	0	0
ENSG00000282209	0	0	0
ENSG00000288517	0	0	0
ENSG00000274404	37	13	20
ENSG00000188388	0	0	0
GOLGA6L4	107	217	108
ENSG00000230373	24	0	0
GOLGA6L6	0	0	7
ENSG00000274320	191	234	106
GOLGA7	942	630	451
GOLGA7B	14	1	0
GOLGA8A	305	594	271
GOLGA8B	587	235	724
ENSG00000181984	0	0	7
ENSG00000278070	0	0	0
ENSG00000278429	0	0	0
ENSG00000276896	13	0	7
ENSG00000273651	35	54	3
GOLGA8H	0	0	0
ENSG00000281356	2	0	2
ENSG00000278119	41	28	5
GOLGA8K	0	0	0
ENSG00000278186	2	0	1
ENSG00000283589	109	32	8
GOLGA8O	0	0	0
ENSG00000282773	0	0	0
GOLGA8R	73	43	38
GOLGA8S	0	11	9
ENSG00000284076	0	0	0
ENSG00000103832	0	0	0
ENSG00000259236	0	0	0
GOLGB1	3511	4500	2197
GOLIM4	158	200	244
GOLM1	1355	1152	186
GOLPH3	2276	1447	609
GOLPH3L	1665	1531	671
GOLT1A	13	3	0
GOLT1B	338	215	136
GON4L	1295	1851	3088
GOPC	360	393	267
GORAB	126	186	35
GORASP1	53	455	77
GORASP2	1526	1108	1588
GOSR1	872	819	906
GOSR2	191	248	76
GOT1	460	141	257
GOT1L1	0	0	0
GOT2	609	621	264
ENSG00000231900	0	0	0
ENSG00000230849	0	6	1
ENSG00000233719	4	0	0
ENSG00000233634	0	0	0
GP1BA	1	0	0
GP1BB	0	194	36
GP2	27	48	26
GP5	9	1	3
ENSG00000276065	42	0	28
GP9	0	0	0
GPA33	0	0	0
GPAA1	129	264	69
ENSG00000240069	0	0	0
ENSG00000230596	112	53	38
GPALPP1	403	262	160
GPAM	81	300	593
ENSG00000223932	75	121	46
GPAT2	2	7	4
GPAT3	53	17	0
GPAT4	619	601	266
GPATCH1	190	90	130
GPATCH11	129	85	81
GPATCH2	437	554	317
GPATCH2L	1669	1742	1324
GPATCH3	23	85	3
GPATCH4	99	128	13
GPATCH8	719	692	371
GPBAR1	0	0	0
GPBP1	740	1343	589
GPBP1L1	3054	2358	958
GPC1	662	1312	732
GPC2	31	42	38
GPC3	80	20	117
GPC4	512	412	397
GPC5	0	0	0
GPC6	0	2	0
GPCPD1	956	1768	897
GPD1	0	0	3
GPD1L	575	476	136
GPD2	1867	1641	944
GPER1	0	0	1
GPHA2	0	0	0
GPHB5	0	0	0
GPHN	121	40	26
ENSG00000282019	1173	980	479
GPIHBP1	0	0	0
GPKOW	89	133	121
GPLD1	40	17	20
GPM6A	585	638	738
GPM6B	77	295	164
ENSG00000230458	0	0	0
ENSG00000236429	0	0	0
ENSG00000234121	0	0	0
GPN1	492	1949	217
GPN2	367	364	466
GPN3	187	47	6
ENSG00000227465	0	0	0
GPNMB	2929	3012	4221
ENSG00000283448	26	52	2
GPR101	0	0	0
GPR107	331	315	250
GPR108	838	613	39
GPR119	0	0	0
GPR12	49	36	35
GPR132	52	176	49
GPR135	24	15	27
GPR137	104	8	2
GPR137B	484	742	141
GPR137C	94	122	148
GPR139	0	0	0
GPR141	77	412	69
GPR142	0	0	0
GPR143	114	151	93
ENSG00000232583	0	0	0
GPR146	36	35	0
GPR148	0	0	0
GPR149	0	0	0
GPR15	0	0	0
GPR150	0	0	0
GPR151	0	0	0
GPR152	0	0	0
GPR153	237	1385	236
GPR155	282	302	207
GPR156	10	0	0
GPR157	421	394	178
GPR158	236	28	89
GPR160	364	267	109
GPR161	225	144	284
GPR162	0	2	3
GPR17	0	0	0
GPR171	1	6	0
GPR173	42	80	150
GPR174	0	0	0
GPR176	10	57	0
ENSG00000276469	37	0	0
GPR18	94	118	31
GPR180	164	544	79
GPR182	0	0	53
GPR183	150	357	56
GPR19	1	0	0
ENSG00000275181	8	0	0
GPR21	7	2	4
ENSG00000283812	87	66	10
GPR25	0	0	0
GPR26	2	0	1
GPR27	0	0	0
GPR3	23	0	7
GPR31	0	0	0
GPR32	0	0	0
ENSG00000269565	0	0	0
GPR33	0	0	0
GPR34	32	76	37
GPR35	22	16	22
GPR37	8	17	0
GPR37L1	42	61	27
GPR39	97	2	3
GPR4	18	10	16
GPR42	0	0	0
GPR45	0	0	0
GPR50	0	0	0
GPR52	3	11	21
ENSG00000227576	0	0	0
GPR55	0	0	0
GPR6	0	0	0
GPR61	0	0	1
GPR62	0	0	0
GPR63	23	9	3
GPR65	78	450	25
GPR68	33	103	0
GPR75	165	8	94
GPR78	0	0	0
ENSG00000232374	0	0	0
GPR82	239	152	283
GPR83	26	126	30
GPR84	0	0	0
GPR85	13	5	14
GPR87	277	393	128
GPR88	0	0	0
GPR89A	392	412	137
GPR89B	303	165	19
GPRASP1	19	3	31
GPRASP2	3	38	55
GPRC5A	9108	11584	2935
GPRC5B	1163	1381	597
GPRC5C	861	302	138
GPRC5D	12	22	56
GPRC6A	0	0	0
GPRIN1	0	0	0
GPRIN2	0	0	0
GPRIN3	200	91	91
GPS1	301	105	78
ENSG00000288325	188	151	74
ENSG00000236496	7	27	0
ENSG00000230951	0	0	0
GPSM1	4	0	0
GPSM2	380	102	256
ENSG00000233490	180	252	13
GPT	0	0	0
GPT2	115	175	37
GPX1	1505	1359	705
ENSG00000197582	0	0	0
ENSG00000215326	1	0	0
GPX2	3288	4264	377
GPX3	194	505	174
GPX4	982	1304	424
ENSG00000257770	0	0	0
ENSG00000281185	2	2	2
GPX7	54	39	164
GPX8	182	111	57
GRAMD1A	155	205	65
GRAMD1B	18	27	24
GRAMD1C	66	39	23
GRAMD4	37	80	3
ENSG00000227874	0	0	0
ENSG00000235992	0	0	0
ENSG00000278301	111	93	172
ENSG00000274369	0	0	0
ENSG00000259089	0	0	0
